"id","region","year","ef_sec_biogas_emi_co2_neg_imp","cost_var_e","bandwidth_type","version","method","source","comment"
1,"DE",2021,"sedos_global_emission_factors.biogas","[78.9]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""assumed to be constant between 2020 and 2025 with monetary conversion from €2022 to €2021.""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownAssumptions""}",""
2,"DE",2024,"sedos_global_emission_factors.biogas","[78.9]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""cost projections for 2025 are assumed""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
3,"DE",2027,"sedos_global_emission_factors.biogas","[74.8]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownCalculation""}",""
4,"DE",2030,"sedos_global_emission_factors.biogas","[68.5]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""literature source with monetary conversion from €2022 to €2021.""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
5,"DE",2035,"sedos_global_emission_factors.biogas","[62.3]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownCalculation""}",""
6,"DE",2040,"sedos_global_emission_factors.biogas","[56.0]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""literature source with monetary conversion from €2022 to €2021.""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
7,"DE",2045,"sedos_global_emission_factors.biogas","[51.1]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""linear interpolation""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownCalculation""}",""
8,"DE",2050,"sedos_global_emission_factors.biogas","[46.1]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""literature source with monetary conversion from €2022 to €2021.""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
9,"DE",2060,"sedos_global_emission_factors.biogas","[46.1]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownAssumption""}",""
10,"DE",2070,"sedos_global_emission_factors.biogas","[46.1]","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""values""}","srd_range_draft","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""assumed to remain constant""}","{""ef_sec_biogas_emi_co2_neg_imp"": """", ""cost_var_e"": ""ownAssumption""}",""
